API,FBRef
Jacob Greaves,Jacob Greaves
Marcus Myers-Harness,Marcus Myers-Harness
Omari Giraud-Hutchinson,Omari Giraud-Hutchinson
Ben Johnson,Ben Johnson
Massimo Luongo,Massimo Luongo
Sam Morsy,Sam Morsy
Cieran Slicker,Cieran Slicker
Jack Taylor,Jack Taylor
Axel Tuanzebe,Axel Tuanzebe
Christian Walton,Christian Walton
Luke Woolfenden,Luke Woolfenden
Boubakary Soumaré,Boubakary Soumaré
Hamza Choudhury,Hamza Choudhury
Bobby De Cordova-Reid,Bobby De Cordova-Reid
Wout Faes,Wout Faes
Mads Hermansen,Mads Hermansen
James Justin,James Justin
Stephy Mavididi,Stephy Mavididi
Kasey McAteer,Kasey McAteer
Wilfred Ndidi,Wilfred Ndidi
Caleb Okoli,Caleb Okoli
Ricardo Barbosa Pereira,Ricardo Barbosa Pereira
Jamie Vardy,Jamie Vardy
Jannik Vestergaard,Jannik Vestergaard
Danny Ward,Danny Ward
Harry Winks,Harry Winks
Alisson Ramses Becker,Alisson
Trent Alexander-Arnold,Trent Alexander-Arnold
Conor Bradley,Conor Bradley
Fábio Freitas Gouveia Carvalho,Fábio Freitas Gouveia Carvalho
Darwin Núñez Ribeiro,Darwin Núñez
Harvey Elliott,Harvey Elliott
Endo Wataru,Wataru Endo
Cody Gakpo,Cody Gakpo
Ryan Gravenberch,Ryan Gravenberch
Curtis Jones,Curtis Jones
Caoimhin Kelleher,Caoimhin Kelleher
Ibrahima Konaté,Ibrahima Konaté
Luis Díaz,Luis Díaz
Mohamed Salah,Mohamed Salah
Alexis Mac Allister,Alexis Mac Allister
Jarell Quansah,Jarell Quansah
Andrew Robertson,Andrew Robertson
Dominik Szoboszlai,Dominik Szoboszlai
Virgil van Dijk,Virgil van Dijk
Manuel Akanji,Manuel Akanji
Nathan Aké,Nathan Aké
Bernardo Veiga de Carvalho e Silva,Bernardo Silva
Kevin De Bruyne,Kevin De Bruyne
Erling Haaland,Erling Haaland
Jérémy Doku,Jeremy Doku
Ederson Santana de Moraes,Ederson
Phil Foden,Phil Foden
Jack Grealish,Jack Grealish
Joško Gvardiol,Joško Gvardiol
Mateo Kovačić,Mateo Kovačić
Rico Lewis,Rico Lewis
Matheus Luiz Nunes,Matheus Nunes
James McAtee,James McAtee
Stefan Ortega Moreno,Stefan Ortega
Kalvin Phillips,Kalvin Phillips
Rúben Gato Alves Dias,Rúben Dias
John Stones,John Stones
Kyle Walker,Kyle Walker
Amad Diallo,Amad Diallo
Antony Matheus dos Santos,Antony
Bruno Borges Fernandes,Bruno Fernandes
Altay Bayindir,Altay Bayindir
Carlos Henrique Casimiro,Casemiro
Diogo Dalot Teixeira,Diogo Dalot
Christian Eriksen,Christian Eriksen
Jonny Evans,Jonny Evans
Alejandro Garnacho,Alejandro Garnacho
Harry Maguire,Harry Maguire
Kobbie Mainoo,Kobbie Mainoo
Lisandro Martínez,Lisandro Martínez
Scott McTominay,Scott McTominay
Mason Mount,Mason Mount
André Onana,André Onana
Marcus Rashford,Marcus Rashford
Aaron Wan-Bissaka,Aaron Wan-Bissaka
Joshua Zirkzee,Joshua Zirkzee
Miguel Almirón Rejala,Miguel Almirón
Harvey Barnes,Harvey Barnes
Bruno Guimarães Rodriguez Moura,Bruno Guimarães
Dan Burn,Dan Burn
Martin Dúbravka,Martin Dúbravka
Anthony Gordon,Anthony Gordon
Alexander Isak,Alexander Isak
Callum Wilson,Callum Wilson
Lewis Hall,Lewis Hall
Jacob Murphy,Jacob Murphy
Joelinton Cássio Apolinário de Lira,Joelinton
Lloyd Kelly,Lloyd Kelly
Emil Krafth,Emil Krafth
Sean Longstaff,Sean Longstaff
Nick Pope,Nick Pope
Fabian Schär,Fabian Schär
Matt Targett,Matt Targett
Kieran Trippier,Kieran Trippier
Joe Willock,Joe Willock
Tino Livramento,Valentino Livramento
Ola Aina,Ola Aina
Elliot Anderson,Elliot Anderson
Taiwo Awoniyi,Taiwo Awoniyi
Willy Boly,Willy Boly
Carlos Miguel dos Santos Pereira,Carlos Miguel dos Santos Pereira
Eric da Silva Moreira,Eric da Silva Moreira
Danilo dos Santos de Oliveira,Danilo dos Santos de Oliveira
Nicolás Domínguez,Nicolás Domínguez
Anthony Elanga,Anthony Elanga
Morgan Gibbs-White,Morgan Gibbs-White
Callum Hudson-Odoi,Callum Hudson-Odoi
Murillo Santiago Costa dos Santos,Murillo Santiago Costa dos Santos
Neco Williams,Neco Williams
Andrew Omobamidele,Andrew Omobamidele
Ibrahim Sangaré,Ibrahim Sangaré
Matz Sels,Matz Sels
Harry Toffolo,Harry Toffolo
Chris Wood,Chris Wood
Ryan Yates,Ryan Yates
Carlos Alcaraz Durán,Carlos Alcaraz Durán
Samuel Amo-Ameyaw,Samuel Amo-Ameyaw
Joe Aribo,Joe Aribo
Adam Armstrong,Adam Armstrong
Jan Bednarek,Jan Bednarek
James Bree,James Bree
Samuel Edozie,Samuel Edozie
Taylor Harwood-Bellis,Taylor Harwood-Bellis
Joe Lumley,Joe Lumley
Alex McCarthy,Alex McCarthy
Jack Stephens,Jack Stephens
Sugawara Yukinari,Sugawara Yukinari
Charlie Taylor,Charlie Taylor
Kyle Walker-Peters,Kyle Walker-Peters
Nathan Wood-Gordon,Nathan Wood-Gordon
Brandon Austin,Brandon Austin
Rodrigo Bentancur,Rodrigo Bentancur
Lucas Bergvall,Lucas Bergvall
Ben Davies,Ben Davies
Radu Drăgușin,Radu Drăgușin
Archie Gray,Archie Gray
Brennan Johnson,Brennan Johnson
Dejan Kulusevski,Dejan Kulusevski
James Maddison,James Maddison
Son Heung-min,Son Heung-min
Pedro Porro,Pedro Porro
Richarlison de Andrade,Richarlison
Cristian Romero,Cristian Romero
Pape Matar Sarr,Pape Matar Sarr
Djed Spence,Djed Spence
Destiny Udogie,Destiny Udogie
Micky van de Ven,Micky van de Ven
Guglielmo Vicario,Guglielmo Vicario
Timo Werner,Timo Werner
Michail Antonio,Michail Antonio
Alphonse Areola,Alphonse Areola
Jarrod Bowen,Jarrod Bowen
Lucas Tolentino Coelho de Lima,Lucas Tolentino Coelho de Lima
James Ward-Prowse,James Ward-Prowse
Vladimír Coufal,Vladimír Coufal
Aaron Cresswell,Aaron Cresswell
Flynn Downes,Flynn Downes
Emerson Palmieri dos Santos,Emerson Palmieri
Łukasz Fabiański,Łukasz Fabiański
Danny Ings,Danny Ings
Max Kilman,Max Kilman
Mohammed Kudus,Mohammed Kudus
Konstantinos Mavropanos,Konstantinos Mavropanos
Tomáš Souček,Tomáš Souček
Rayan Aït-Nouri,Rayan Aït Nouri
Jean-Ricner Bellegarde,Jean-Ricner Bellegarde
Daniel Bentley,Daniel Bentley
Francisco Jorge Tomás Oliveira,Francisco Jorge Tomás Oliveira
Matheus Santos Carneiro Da Cunha,Matheus Cunha
Craig Dawson,Craig Dawson
Matt Doherty,Matt Doherty
Tommy Doyle,Tommy Doyle
Gonçalo Manuel Ganchinho Guedes,Gonçalo Manuel Ganchinho Guedes
Hwang Hee-chan,Hwang Hee-chan
João Victor Gomes da Silva,João Victor Gomes da Silva
José Malheiro de Sá,José Sá
Mario Lemina,Mario Lemina
Yerson Mosquera,Yerson Mosquera
Pedro Lomba Neto,Pedro Neto
Daniel Castelo Podence,Daniel Castelo Podence
Rodrigo Martins Gomes,Rodrigo Martins Gomes
Santiago Bueno,Santiago Bueno
Pablo Sarabia,Pablo Sarabia
